,Title,Published_date,Views,Likes,Comments,Month
0,How I Realized I Was a Bad Manager #shorts,2023-03-07,1529,72,1,Mar
1,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,10866,446,43,Mar
2,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,3390,122,5,Mar
3,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,1743,98,2,Feb
4,Learning On the companies dime #shorts,2023-02-24,2234,107,1,Feb
5,The Best Way to Transition to Data Science? #shorts,2023-02-21,2825,174,6,Feb
6,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,3416,208,5,Feb
7,Don't Go into Data for the Money #shorts,2023-02-15,3042,173,12,Feb
8,I Wish I Knew THIS Before Starting My First Data Science Project,2023-02-13,3396,230,21,Feb
9,How to Approach Applying for a Data Role #shorts,2023-02-08,2980,181,7,Feb
10,The Hard Reality of Data Science Work #shorts,2023-02-06,5071,325,9,Feb
11,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,3538,137,6,Feb
12,These 3 Things Make Data Science Special #shorts,2023-02-01,3183,228,6,Feb
13,Will Data Science Be Automated? #shorts,2023-01-27,5200,232,7,Jan
14,Is Data Science A Good Fit For You? #shorts,2023-01-25,4387,234,9,Jan
15,5 Books I Wish I Read Earlier In My Career,2023-01-23,6901,416,49,Jan
16,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,3803,372,10,Jan
17,What Data Science Tool Would I Learn First? #shorts,2023-01-17,5581,387,10,Jan
18,How long does it take to become a Data Scientist? #shorts,2023-01-12,4468,335,6,Jan
19,Where & how to start your Data Science Journey #shorts,2023-01-09,5801,339,2,Jan
20,How I Would NOT Learn Data Science in 2023.,2023-01-03,80255,2924,215,Jan
21,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4383,182,26,Dec
22,The Essential Programming Concepts For Learning Data Science,2022-11-14,18283,773,46,Nov
23,The Data Content House: What You Missed,2022-10-07,9978,337,56,Oct
24,Is Data Science A Good Career?,2022-09-29,48019,1589,120,Sep
25,IRON ANALYST (Teaser) #shorts,2022-09-27,5077,336,24,Sep
26,When a New Data Scientist Joins The Team,2022-08-29,15681,721,131,Aug
27,State of Data Science - Web Data,2022-08-05,10346,360,34,Aug
28,Data Science Town Hall - State of Data Science,2022-08-04,9864,377,38,Aug
29,The Programming Roadmap For Data Science,2022-07-29,21490,1113,61,Jul
30,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,47318,2104,85,Jun
31,Machine Learning Saves My Baseball Career?,2022-06-10,7206,327,68,Jun
32,Every Data Scientist... (funny!),2022-05-24,15262,819,146,May
33,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15919,429,65,May
34,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,43969,1225,81,Apr
35,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,18882,820,103,Mar
36,Data Scientists VS NFT Scam,2022-03-03,4514,187,51,Mar
37,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10682,501,144,Feb
38,What Professional Data Scientists ACTUALLY Do,2022-02-14,87833,3069,184,Feb
39,Can You Analyze My Data Better Than I Can?,2022-01-31,6734,314,62,Jan
40,Giving Back to My Most Engaged Subscribers!,2022-01-28,2295,118,89,Jan
41,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,18967,683,92,Jan
